;Gene;RNA;ID;Monomer;ID.1;Process;KO index
1021;tdk;EG10994_RNA;TDK-MONOMER;Metabolism;;;998
1031;thrA;EG10998_RNA;ASPKINIHOMOSERDEHYDROGI-MONOMER;Metabolism;;;1002
1032;thrB;EG10999_RNA;HOMOSERKIN-MONOMER;Metabolism;;;1003
1033;thrC;EG11000_RNA;THRESYN-MONOMER;Metabolism;;;1004
1034;thrS;EG11001_RNA;THRS-MONOMER;Metabolism;;;1005
1035;thyA;EG11002_RNA;THYMIDYLATESYN-MONOMER;Metabolism;;;1006
1036;tig;EG11003_RNA;EG11003-MONOMER;Metabolism;;;1007
1041;tnaA;EG11005_RNA;TRYPTOPHAN-MONOMER;Metabolism;;;1009
1042;tnaB;EG11006_RNA;TNAB-MONOMER;Metabolism;;;1010
1043;tolB;EG11008_RNA;EG11008-MONOMER;Metabolism;;;1012
1044;tolC;EG11009_RNA;EG11009-MONOMER;Metabolism;;;1013
1045;tpiA;EG11015_RNA;TPI-MONOMER;Metabolism;;;1019
1050;trkG;EG11020_RNA;TRKG-MONOMER;Metabolism;;;1024
1051;trkH;EG11021_RNA;TRKH-MONOMER;Metabolism;;;1025
1052;trmD;EG11023_RNA;EG11023-MONOMER;Metabolism;;;1027
1053;trpA;EG11024_RNA;TRYPSYN-APROTEIN;Metabolism;;;1028
1054;trpB;EG11025_RNA;TRYPSYN-BPROTEIN;Metabolism;;;1029
1055;trpC;EG11026_RNA;PRAI-IGPS;Metabolism;;;1030
1056;trpD;EG11027_RNA;ANTHRANSYNCOMPII-MONOMER;Metabolism;;;1031
1057;trpE;EG11028_RNA;ANTHRANSYNCOMPI-MONOMER;Metabolism;;;1032
1058;trpR;EG11029_RNA;PD00423;Transcription;Regulation;;1033
1059;trpS;EG11030_RNA;TRPS-MONOMER;Metabolism;;;1034
1063;trxB;EG11032_RNA;THIOREDOXIN-REDUCT-NADPH-MONOMER;Metabolism;;;1036
1064;tsx;EG11035_RNA;EG11035-MONOMER;Metabolism;;;1039
1067;tyrA;EG11039_RNA;CHORISMUTPREPHENDEHYDROG-MONOMER;Metabolism;;;1043
1068;tyrB;EG11040_RNA;TYRB-MONOMER;Metabolism;;;1044
1069;tyrP;EG11041_RNA;TYRP-MONOMER;Metabolism;;;1045
1070;tyrR;EG11042_RNA;PD00413;Transcription;Regulation;;1046
1071;tyrS;EG11043_RNA;TYRS-MONOMER;Metabolism;;;1047
1081;udp;EG11045_RNA;URPHOS-MONOMER;Metabolism;;;1049
1083;ugpA;EG11046_RNA;UGPA-MONOMER;Metabolism;;;1050
1084;ugpB;EG11047_RNA;UGPB-MONOMER;Metabolism;;;1051
